run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
2,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
3,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
4,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
5,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
6,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
7,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
8,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
9,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
10,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
11,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
12,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
13,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
14,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
15,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
16,10,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0
17,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
18,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
19,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
20,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
21,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
22,11,11,1.0,1.0,1.0,11,1.0,1.0,1.0,11,1.0,1.0,1.0
