run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
2,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
3,16,14,0.914,0.9093220236857936,0.9718140002342315,16,1.0,1.0,1.0,16,1.0,1.0,1.0
4,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
5,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
6,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
7,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
8,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
9,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
10,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
11,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
12,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
13,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
14,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
15,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
16,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
17,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
18,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
19,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
20,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
21,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
22,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
23,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
24,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
25,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
26,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
27,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
28,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
29,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
30,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
31,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
32,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
33,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
34,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
35,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
36,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
37,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
38,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
39,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
40,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
41,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
42,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
43,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
44,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
45,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
46,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
47,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
48,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
49,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
50,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
51,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
52,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
53,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
54,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
55,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
56,17,17,1.0,1.0,1.0,16,0.936,0.8981776658933747,0.9800229256837975,17,1.0,1.0,1.0
57,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
58,16,15,0.956,0.9644188081905655,0.9877034887865961,16,1.0,1.0,1.0,16,1.0,1.0,1.0
59,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
60,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
61,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
62,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
63,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
64,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
65,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
66,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
67,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
68,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
69,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
70,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
71,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
72,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
73,16,15,0.942,0.9374401055644072,0.9839279954857268,16,1.0,1.0,1.0,16,1.0,1.0,1.0
74,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
75,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
76,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
77,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
78,15,15,1.0,1.0,1.0,14,0.946,0.9328576752818503,0.9824713622828462,15,1.0,1.0,1.0
79,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
80,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
81,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
82,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
83,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
84,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
85,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
86,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
87,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
88,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
89,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
90,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
91,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
92,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
93,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
94,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
95,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
96,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
97,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
98,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
99,13,13,1.0,1.0,1.0,13,1.0,1.0,1.0,13,1.0,1.0,1.0
100,14,14,1.0,1.0,1.0,14,1.0,1.0,1.0,14,1.0,1.0,1.0
