run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,17,8,0.144,0.01722121450132753,0.08808616527692403,1,0.086,0.0,0.0,8,0.136,0.006348083021878177,0.0706261099885172
2,14,11,0.17,0.00958551069291855,0.06800558762485587,1,0.1,0.0,0.0,8,0.144,0.00821972846644896,0.04896775295506374
3,15,11,0.158,0.010445922367046776,0.07833398063268768,1,0.1,0.0,0.0,8,0.144,0.009098365213498246,0.067665854922114
4,15,16,0.184,0.017639161970315717,0.10022313077354773,1,0.094,0.0,0.0,9,0.158,0.013649275264503213,0.0666811607681989
5,16,10,0.142,0.008173986086807632,0.06274055328213576,1,0.096,0.0,0.0,10,0.182,0.024646514427033,0.09920719278354466
6,15,9,0.148,0.007168089222897329,0.06633197278991475,1,0.098,0.0,0.0,8,0.126,0.003643262659953382,0.04696852102286602
7,16,11,0.162,0.020120159103368326,0.11557855936929307,1,0.114,0.0,0.0,9,0.144,0.009772016964667483,0.05862308493139208
8,15,12,0.148,0.003502815215348529,0.07306619711195787,1,0.1,0.0,0.0,9,0.154,0.014095472436605949,0.08370702946291185
9,15,13,0.162,0.015575230579508848,0.09589510263535952,1,0.09,0.0,0.0,9,0.146,0.011748342996290434,0.06593170097749158
10,14,12,0.156,0.011497402753866336,0.07353836577242616,1,0.096,0.0,0.0,7,0.136,0.004567422671155782,0.04659840830421288
11,14,14,0.168,0.010634283765690101,0.08074616080008758,1,0.104,0.0,0.0,8,0.14,0.008174087051724795,0.03662421154315511
12,15,11,0.146,0.004517654655547505,0.0652459106764413,1,0.088,0.0,0.0,7,0.12,0.0032934588098707408,0.04283851766417202
13,13,11,0.152,0.0033517541172791623,0.02906102464686879,1,0.098,0.0,0.0,9,0.15,0.006749183310399447,0.04502218448618898
14,14,12,0.148,0.00584731655963098,0.0724576735024158,1,0.096,0.0,0.0,8,0.142,0.005606711021573852,0.05074042143190069
