run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,15,14,0.942,0.9446270659870886,0.9843467833975202,1,0.082,0.0,0.0,15,1.0,1.0,1.0
2,14,14,1.0,1.0,1.0,1,0.096,0.0,0.0,14,1.0,1.0,1.0
3,17,16,0.95,0.9470126830233652,0.9861261058490214,1,0.09,0.0,0.0,17,1.0,1.0,1.0
4,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
5,16,16,1.0,1.0,1.0,1,0.096,0.0,0.0,16,1.0,1.0,1.0
6,16,16,1.0,1.0,1.0,1,0.088,0.0,0.0,16,1.0,1.0,1.0
7,17,17,1.0,1.0,1.0,1,0.076,0.0,0.0,17,1.0,1.0,1.0
8,14,14,1.0,1.0,1.0,1,0.096,0.0,0.0,14,1.0,1.0,1.0
9,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
10,16,16,1.0,1.0,1.0,1,0.092,0.0,0.0,16,1.0,1.0,1.0
11,15,14,0.932,0.9218303077613961,0.9808436649932109,1,0.092,0.0,0.0,15,1.0,1.0,1.0
12,16,16,1.0,1.0,1.0,1,0.1,0.0,0.0,16,1.0,1.0,1.0
13,15,15,1.0,1.0,1.0,1,0.09,0.0,0.0,15,1.0,1.0,1.0
14,16,16,1.0,1.0,1.0,1,0.098,0.0,0.0,16,1.0,1.0,1.0
15,15,15,1.0,1.0,1.0,1,0.098,0.0,0.0,15,1.0,1.0,1.0
16,16,16,1.0,1.0,1.0,1,0.094,0.0,0.0,16,1.0,1.0,1.0
17,15,14,0.928,0.8979923774180533,0.977651344316209,1,0.1,0.0,0.0,15,1.0,1.0,1.0
18,13,12,0.946,0.949599522037824,0.9830372935477589,1,0.1,0.0,0.0,13,1.0,1.0,1.0
19,16,16,1.0,1.0,1.0,1,0.096,0.0,0.0,16,1.0,1.0,1.0
20,14,14,1.0,1.0,1.0,1,0.096,0.0,0.0,14,0.998,0.9946047831838758,0.9962376994434275
21,16,16,1.0,1.0,1.0,1,0.09,0.0,0.0,16,1.0,1.0,1.0
22,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
23,17,17,1.0,1.0,1.0,1,0.09,0.0,0.0,17,1.0,1.0,1.0
24,13,13,1.0,1.0,1.0,1,0.1,0.0,0.0,13,1.0,1.0,1.0
