run,true # of communities,predicted # of communities,accuracy,ari,nmi
53,18,21,0.147,0.008412797,0.081403809
37,19,18,0.126,0.005404666,0.076068493
26,18,12,0.107,0.002161614,0.039076853
49,17,15,0.128,0.002307823,0.066475277
92,17,18,0.147,0.005449501,0.080098098
66,17,28,0.125,0.002383626,0.071281524
62,19,14,0.114,0.003786263,0.06701093
81,19,24,0.121,0.005921621,0.071663316
8,20,12,0.109,0.004857788,0.061276613
27,18,11,0.119,0.005452827,0.070667929
47,18,10,0.105,0.003459059,0.056043094
55,19,17,0.122,0.003094549,0.074548423
2,18,25,0.132,0.003617757,0.077158011
73,18,24,0.145,0.007251954,0.091330549
40,18,10,0.104,0.002267059,0.042510503
91,18,11,0.123,0.003719282,0.064543809
14,18,11,0.107,0.003298078,0.037862074
28,18,10,0.118,0.004907799,0.05298916
4,17,13,0.101,0.001103117,0.046868654
85,17,10,0.097,0.001217181,0.030797062
52,18,23,0.139,0.003459957,0.072958058
10,17,12,0.114,0.003408254,0.051953925
60,17,21,0.122,0.00055373,0.03849345
43,18,13,0.114,0.004629267,0.058501955
3,19,12,0.097,0.001132191,0.048079274
50,18,11,0.107,0.003707995,0.043917055
23,18,22,0.105,0.002548978,0.054520082
77,19,17,0.121,0.002002508,0.075478573
9,17,12,0.12,0.0038403,0.06757304
59,19,17,0.13,0.004159049,0.092697442
94,18,12,0.113,0.002169413,0.062134583
46,20,23,0.111,0.002312199,0.055010846
87,19,13,0.111,0.003105605,0.06962641
89,19,11,0.109,0.004050375,0.050871182
63,18,15,0.148,0.004611581,0.068029668
45,17,13,0.136,0.005323989,0.064773235
83,17,10,0.113,0.003428318,0.049536805
22,19,15,0.116,0.004686434,0.066328188
57,19,13,0.121,0.002017283,0.040690866
17,19,11,0.106,0.003478633,0.061779195
6,20,11,0.12,0.00514994,0.079858874
39,17,22,0.121,0.001710317,0.076847283
71,19,25,0.145,0.006639766,0.099846807
33,18,11,0.11,0.001929662,0.04868756
35,19,12,0.107,0.003185788,0.061866132
93,17,16,0.111,0.000789095,0.042129133
11,19,15,0.117,0.004862161,0.071466857
15,18,12,0.109,0.002986963,0.056028043
41,18,25,0.131,0.003455727,0.068417528
67,18,13,0.112,0.003571661,0.050147244
56,18,11,0.124,0.005011316,0.069367525
95,18,24,0.116,0.003193892,0.067151838
1,18,21,0.132,0.003119637,0.086965898
25,18,12,0.13,0.004093656,0.083075018
31,19,11,0.132,0.008578137,0.084862968
54,17,23,0.141,0.003687286,0.070081168
61,17,10,0.111,0.004003485,0.051738551
24,20,11,0.122,0.005804743,0.087334873
76,19,13,0.115,0.007028937,0.063555175
70,19,12,0.112,0.005606082,0.064340027
48,18,23,0.126,0.004525883,0.071560276
79,19,13,0.126,0.003625134,0.071548508
75,18,11,0.117,0.006696579,0.069793337
29,18,15,0.12,0.005668862,0.060801954
51,18,12,0.105,0.001453802,0.051748166
38,18,11,0.133,0.00839944,0.083517611
7,19,14,0.145,0.008738821,0.102099708
21,19,18,0.134,0.006967194,0.099594527
90,17,10,0.113,0.003506584,0.056742645
64,19,16,0.115,0.001825202,0.073600808
30,18,13,0.119,0.005573136,0.05850326
5,18,11,0.115,0.003958145,0.0562007
80,20,16,0.12,0.004611455,0.073692247
20,20,11,0.107,0.004603193,0.061139462
96,19,13,0.112,0.003353047,0.072217884
65,18,21,0.119,0.001739086,0.060264545
16,18,11,0.098,0.001225147,0.041120982
42,20,18,0.125,0.005086053,0.096675564
12,19,26,0.132,0.004580606,0.088533679
74,18,14,0.143,0.007484953,0.092643782
69,19,13,0.108,0.00344362,0.05048527
32,19,10,0.128,0.005957242,0.085641937
72,17,27,0.135,0.004368908,0.061803573
18,17,22,0.126,0.002085295,0.065346801
36,19,20,0.142,0.00556577,0.091153908
58,18,14,0.12,0.00482406,0.068444555
86,19,11,0.113,0.005910102,0.065575401
68,18,11,0.122,0.00541827,0.052682897
44,18,13,0.112,0.004265829,0.047518936
34,18,10,0.12,0.002252899,0.045729413
19,19,12,0.11,0.003881839,0.069559733
78,18,28,0.126,0.00277511,0.063992983
82,19,17,0.128,0.005151526,0.071187658
84,18,15,0.125,0.004348034,0.063648888
88,18,17,0.123,0.00457607,0.074800099
13,18,14,0.118,0.003266718,0.04433139
100,17,15,0.128,0.007080432,0.056119851
97,20,11,0.109,0.003914056,0.061791116
99,17,16,0.126,0.003989377,0.055778544
98,18,16,0.129,0.003128148,0.067320158
,,,,,
,,,,,0.065413093
