run,true # of communities,predicted # of communities,accuracy,ari,nmi
23,17,17,0.999,0.998085288,0.998231216
15,19,21,1,1,1
24,17,16,0.932,0.920786775,0.982919663
18,17,17,1,1,1
4,19,18,0.945,0.932165777,0.98557119
19,19,18,0.955,0.938077116,0.986328181
16,18,18,1,1,1
22,19,19,1,1,1
1,17,18,1,1,1
10,18,18,1,1,1
14,17,16,0.948,0.941663189,0.985436187
8,16,15,0.933,0.911894411,0.980860905
5,18,18,0.999,0.997951226,0.99826826
21,19,19,1,1,1
17,18,19,1,1,1
27,18,18,1,1,1
6,17,17,1,1,1
13,18,18,1,1,1
44,17,17,1,1,1
34,18,19,1,1,1
9,18,17,0.947,0.945386232,0.986439018
3,18,18,1,1,1
36,18,17,0.933,0.920350064,0.981880439
11,19,18,0.949,0.948756634,0.987550313
26,18,18,1,1,1
28,19,19,1,1,1
30,18,18,1,1,1
33,19,19,1,1,1
20,18,19,1,1,1
54,20,21,1,1,1
52,18,17,0.956,0.961274274,0.988664589
2,19,18,0.955,0.945397502,0.987238388
49,19,19,1,1,1
40,20,21,1,1,1
31,18,17,0.957,0.965194086,0.989417593
12,18,19,1,1,1
50,19,20,1,1,1
35,18,18,1,1,1
39,19,18,0.95,0.943944288,0.987020113
42,16,17,1,1,1
25,18,17,0.94,0.932263974,0.98499204
43,18,18,1,1,1
29,18,18,1,1,1
38,19,19,0.999,0.997704312,0.998269955
45,18,18,0.999,0.997642259,0.998222524
47,19,19,1,1,1
46,17,17,1,1,1
59,19,19,1,1,1
48,18,17,0.948,0.93548568,0.983845373
7,18,18,1,1,1
41,18,17,0.946,0.938767628,0.985783536
62,18,17,0.957,0.965367593,0.989407751
68,18,18,1,1,1
32,18,17,0.958,0.949784182,0.987181074
63,17,16,0.948,0.941754783,0.983735273
51,18,19,0.999,0.997600541,0.998201459
75,18,17,0.952,0.944782266,0.986527418
55,17,17,1,1,1
61,18,18,1,1,1
60,18,18,1,1,1
64,18,18,1,1,1
37,19,19,1,1,1
74,18,17,0.959,0.960082199,0.988559135
76,19,21,1,1,1
57,18,17,0.943,0.934923862,0.985101205
53,19,17,0.917,0.924432925,0.978275015
65,18,18,1,1,1
67,19,19,0.999,0.997480112,0.998245104
58,18,18,1,1,1
69,19,18,0.957,0.95934333,0.989048506
66,18,18,1,1,1
56,17,17,1,1,1
70,17,16,0.95,0.94671162,0.986180134
72,19,19,1,1,1
81,18,17,0.959,0.951729261,0.987556737
78,17,17,1,1,1
80,19,18,0.957,0.963425386,0.989614172
79,17,18,1,1,1
82,19,19,1,1,1
77,18,18,1,1,1
71,19,18,0.952,0.949253645,0.987738936
73,18,17,0.948,0.939161237,0.984261643
83,18,17,0.957,0.963080788,0.988899929
84,18,17,0.951,0.919645991,0.983650838
85,18,17,0.95,0.953757767,0.98768543
86,17,18,1,1,1
89,18,17,0.955,0.934543213,0.985434836
90,18,17,0.953,0.940726258,0.986127566
88,19,20,1,1,1
87,17,16,0.959,0.955756998,0.987465517
92,18,18,1,1,1
91,19,19,1,1,1
94,19,19,1,1,1
96,19,19,1,1,1
99,19,19,1,1,1
100,19,20,1,1,1
97,19,20,1,1,1
95,19,18,0.944,0.938718173,0.986348201
93,18,17,0.958,0.952828591,0.987659233
98,17,18,1,1,1
,,,,,
,,,,,0.994898446
