run,true # of communities,predicted # of communities,accuracy,ari,nmi
2,17,18,1,1,1
7,19,21,1,1,1
12,18,18,1,1,1
1,19,19,1,1,1
6,17,17,1,1,1
25,18,18,1,1,1
19,18,18,1,1,1
10,20,20,1,1,1
24,19,19,1,1,1
8,18,19,1,1,1
13,17,16,0.95,0.956252577,0.987261812
5,17,16,0.938,0.93367713,0.984418838
9,18,19,1,1,1
14,18,19,1,1,1
20,18,17,0.953,0.958863056,0.988113008
11,18,17,0.935,0.920541558,0.983469929
3,19,20,1,1,1
18,18,18,1,1,1
16,18,19,1,1,1
33,18,18,0.957,0.961913532,0.988805509
21,19,19,1,1,1
17,20,20,1,1,1
39,19,18,0.958,0.964888129,0.989863595
23,19,19,1,1,1
45,19,20,1,1,1
28,19,17,0.901,0.848799994,0.964805842
26,18,19,1,1,1
22,18,18,1,1,1
15,18,17,0.953,0.945151175,0.986576944
4,19,20,1,1,1
41,18,19,1,1,1
46,19,19,1,1,1
36,17,18,1,1,1
42,17,16,0.943,0.932343978,0.984288211
38,17,18,1,1,1
37,19,20,1,1,1
31,18,17,0.956,0.940177484,0.986104082
52,17,17,1,1,1
30,18,17,0.954,0.952002426,0.987284444
57,18,18,1,1,1
32,20,19,0.949,0.944673486,0.987678002
44,19,20,1,1,1
35,18,17,0.931,0.900856539,0.981180965
56,17,18,1,1,1
48,18,18,1,1,1
34,18,19,1,1,1
51,19,19,1,1,1
58,17,18,1,1,1
43,18,18,1,1,1
27,19,20,1,1,1
49,18,19,1,1,1
40,18,17,0.95,0.94094011,0.986022845
29,18,17,0.936,0.927274886,0.98434977
54,18,18,1,1,1
59,17,17,1,1,1
50,19,18,0.957,0.956895335,0.988729431
53,17,18,1,1,1
47,18,18,1,1,1
55,20,19,0.953,0.952587045,0.988478878
61,19,20,1,1,1
67,19,19,1,1,1
64,19,20,1,1,1
63,17,17,1,1,1
60,18,17,0.952,0.957127894,0.98818326
73,18,19,1,1,1
74,18,18,1,1,1
65,19,19,1,1,1
66,19,21,1,1,1
75,18,17,0.959,0.964860836,0.989165028
71,17,18,1,1,1
69,19,20,1,1,1
68,18,17,0.946,0.932551471,0.985032288
70,18,18,1,1,1
62,19,18,0.948,0.938735591,0.986437626
72,17,18,1,1,1
76,18,16,0.912,0.888395361,0.972082306
79,19,20,1,1,1
78,18,19,1,1,1
77,19,18,0.957,0.956519139,0.988603537
80,18,19,1,1,1
83,17,17,1,1,1
81,18,17,0.957,0.954157062,0.987777883
84,19,20,1,1,1
82,18,18,1,1,1
85,17,18,1,1,1
86,18,18,1,1,1
91,18,19,1,1,1
90,17,18,1,1,1
89,19,18,0.954,0.948099595,0.98758687
88,20,20,1,1,1
87,17,16,0.948,0.943435339,0.985650414
93,19,18,0.959,0.958172036,0.988903593
99,17,16,0.947,0.937859741,0.984980038
92,18,16,0.894,0.838431087,0.964502176
96,19,19,1,1,1
98,18,18,1,1,1
97,18,17,0.947,0.939366918,0.985795242
94,20,20,1,1,1
95,17,18,1,1,1
100,19,18,0.943,0.9283616,0.985207997
,,,,,
,,,,,0.995273404
