run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,18,14,0.754,0.680786788,0.893768716,1,0.07,0,0,14,0.792,0.791995156,0.939746426
2,18,13,0.674,0.59686022,0.81231154,1,0.069,0,0,15,0.824,0.814180936,0.951301062
3,19,15,0.788,0.744391189,0.934031901,1,0.07,0,0,18,0.958,0.957438444,0.988747329
4,17,12,0.738,0.756077633,0.922744479,1,0.07,0,0,13,0.763,0.766352682,0.922701104
5,18,14,0.784,0.769039611,0.914227751,1,0.07,0,0,17,0.948,0.941092564,0.986054961
6,20,16,0.811,0.778105684,0.945366051,1,0.065,0,0,18,0.914,0.908460133,0.972197934
7,19,16,0.855,0.859165601,0.961947925,1,0.07,0,0,16,0.854,0.838897991,0.95890964
8,20,17,0.861,0.848812999,0.959727209,1,0.065,0,0,19,0.947,0.938918674,0.986964549
9,17,13,0.778,0.784872177,0.935318688,1,0.07,0,0,14,0.833,0.83245528,0.953512435
10,17,10,0.57,0.512912057,0.769904347,1,0.085,0,0,11,0.631,0.587858161,0.806541673
11,19,17,0.899,0.886599643,0.973060238,1,0.068,0,0,17,0.899,0.897230386,0.974440259
12,19,16,0.786,0.709156426,0.884193018,1,0.07,0,0,15,0.782,0.669071177,0.927660529
13,18,15,0.817,0.734690475,0.853902751,1,0.084,0,0,13,0.722,0.662348155,0.869638447
14,18,16,0.893,0.877996568,0.970587363,1,0.069,0,0,17,0.942,0.93472069,0.985235246
15,18,14,0.773,0.662659879,0.866739843,1,0.069,0,0,15,0.822,0.806035242,0.946924875
16,18,13,0.725,0.693230999,0.883929543,1,0.074,0,0,15,0.803,0.734311656,0.886655183
17,19,15,0.762,0.697709781,0.895415487,1,0.069,0,0,14,0.732,0.708519627,0.903838078
18,17,13,0.768,0.762668114,0.903451497,1,0.075,0,0,10,0.587,0.502470088,0.691655837
19,19,16,0.831,0.795860913,0.909553592,1,0.067,0,0,17,0.883,0.864798742,0.969903537
20,20,14,0.697,0.584500895,0.872926328,1,0.066,0,0,18,0.888,0.867657019,0.97143259
21,19,15,0.804,0.764161178,0.940607855,1,0.066,0,0,15,0.797,0.798434766,0.94527557
22,19,16,0.863,0.87293038,0.964303648,1,0.067,0,0,16,0.845,0.83858894,0.958908629
23,18,17,0.945,0.936176581,0.985411685,1,0.074,0,0,15,0.831,0.812581567,0.951294162
24,20,17,0.833,0.763247485,0.949486447,1,0.068,0,0,19,0.95,0.938685226,0.986926767
25,18,14,0.803,0.80105792,0.943070552,1,0.084,0,0,18,1,1,1
26,18,13,0.698,0.621810932,0.853432753,1,0.09,0,0,16,0.869,0.820058361,0.922001723
27,18,13,0.719,0.661048707,0.859818488,1,0.084,0,0,12,0.649,0.607293825,0.820961375
28,18,14,0.656,0.514439077,0.75973434,1,0.091,0,0,15,0.794,0.705013952,0.849135901
29,18,15,0.804,0.746191099,0.904967274,1,0.086,0,0,14,0.761,0.714620826,0.915083682
30,18,15,0.844,0.838261185,0.95688287,1,0.07,0,0,18,0.995,0.989089352,0.993923245
31,19,16,0.861,0.860695519,0.962340874,1,0.067,0,0,18,0.936,0.917249362,0.97594427
32,19,12,0.634,0.594127883,0.876793073,1,0.07,0,0,16,0.821,0.755669905,0.944506583
33,18,12,0.68,0.63426099,0.859742749,1,0.069,0,0,14,0.755,0.719959707,0.89791278
34,18,14,0.771,0.707277805,0.87477064,1,0.091,0,0,15,0.803,0.723469348,0.901809226
35,19,16,0.837,0.822433252,0.956226892,1,0.069,0,0,16,0.842,0.821587047,0.928072694
36,19,17,0.909,0.899216986,0.972540462,1,0.076,0,0,16,0.806,0.766175143,0.905951486
37,19,15,0.8,0.796049218,0.944463607,1,0.068,0,0,15,0.782,0.669602971,0.907818518
38,18,14,0.795,0.756619392,0.936311126,1,0.069,0,0,16,0.889,0.874824116,0.968361536
39,17,11,0.641,0.570482168,0.807848867,1,0.07,0,0,14,0.825,0.824364083,0.94580883
40,18,13,0.727,0.69029622,0.873910479,1,0.084,0,0,18,0.999,0.99789044,0.998249925
41,18,12,0.713,0.697745778,0.906704613,1,0.084,0,0,15,0.784,0.685307622,0.872313436
42,20,16,0.775,0.758962945,0.912048822,1,0.062,0,0,19,0.94,0.925620389,0.980172075
43,18,13,0.737,0.744888523,0.923821116,1,0.074,0,0,16,0.865,0.840234698,0.955421318
44,18,14,0.801,0.80138401,0.943049965,1,0.07,0,0,16,0.907,0.904393948,0.972719668
45,17,14,0.627,0.489382922,0.682094483,1,0.098,0,0,13,0.723,0.674974697,0.860669495
46,20,15,0.746,0.692188658,0.907987422,1,0.07,0,0,20,0.998,0.995288248,0.996633436
47,18,15,0.818,0.804979432,0.951305406,1,0.075,0,0,14,0.775,0.774009232,0.935169361
48,18,13,0.733,0.695433652,0.908395485,1,0.08,0,0,16,0.87,0.809425948,0.935018338
49,17,13,0.796,0.766470325,0.935062122,1,0.069,0,0,14,0.839,0.825451871,0.946107997
50,18,14,0.803,0.808889594,0.944331792,1,0.069,0,0,17,0.956,0.952798344,0.987639539
51,18,13,0.685,0.611259794,0.837114867,1,0.08,0,0,14,0.75,0.700693594,0.860525309
52,18,13,0.695,0.593453172,0.826739213,1,0.096,0,0,14,0.73,0.643945822,0.822075925
53,18,11,0.601,0.521286811,0.753464318,1,0.087,0,0,15,0.82,0.755815403,0.887097677
54,17,12,0.695,0.638829541,0.836639394,1,0.107,0,0,15,0.832,0.750530036,0.881003436
55,19,18,0.955,0.952727595,0.988126264,1,0.069,0,0,18,0.945,0.929113383,0.985264512
56,18,16,0.904,0.903749902,0.974175682,1,0.068,0,0,18,0.994,0.986736175,0.990405386
57,19,16,0.802,0.728084795,0.890880133,1,0.097,0,0,18,0.918,0.85932917,0.937307584
58,18,12,0.664,0.566685243,0.801420396,1,0.07,0,0,17,0.931,0.915158875,0.979820389
59,19,15,0.811,0.783138922,0.943389691,1,0.07,0,0,16,0.86,0.850716092,0.960683628
60,17,13,0.722,0.614055933,0.809536437,1,0.101,0,0,12,0.662,0.557136994,0.791037435
61,17,13,0.744,0.689868814,0.854157135,1,0.069,0,0,13,0.749,0.746199809,0.906894931
62,19,17,0.881,0.844155438,0.945832856,1,0.069,0,0,17,0.915,0.902155685,0.975062651
63,18,12,0.633,0.527256086,0.798588468,1,0.102,0,0,13,0.674,0.566205069,0.821669726
64,19,12,0.646,0.656397756,0.891515065,1,0.07,0,0,17,0.875,0.852309862,0.960556468
65,18,14,0.798,0.799664582,0.94128506,1,0.069,0,0,17,0.94,0.927698874,0.984388236
66,17,13,0.781,0.791823865,0.938135467,1,0.077,0,0,14,0.816,0.768138788,0.89241592
67,18,13,0.74,0.706309842,0.892906739,1,0.07,0,0,15,0.833,0.794472675,0.946549399
68,18,15,0.826,0.794605673,0.922414325,1,0.091,0,0,14,0.753,0.640098247,0.82937127
69,19,15,0.79,0.740101049,0.930145194,1,0.07,0,0,19,0.998,0.995037658,0.996956626
70,19,14,0.747,0.730153995,0.926829949,1,0.068,0,0,18,0.945,0.930948348,0.981491472
71,19,15,0.796,0.762085368,0.939826925,1,0.082,0,0,14,0.708,0.579294478,0.819478309
72,17,12,0.712,0.731373772,0.917272239,1,0.084,0,0,16,0.942,0.918009706,0.979904294
73,18,14,0.783,0.778177387,0.935420467,1,0.076,0,0,11,0.663,0.704967348,0.89416579
74,18,10,0.565,0.51823452,0.802720903,1,0.085,0,0,17,0.952,0.950529244,0.987110218
75,18,13,0.728,0.658238143,0.872759747,1,0.069,0,0,16,0.893,0.874675755,0.968375829
76,19,14,0.776,0.792435568,0.936783537,1,0.067,0,0,18,0.955,0.955225693,0.988443672
77,19,14,0.756,0.725010376,0.923001411,1,0.073,0,0,15,0.799,0.782279431,0.935633885
78,18,14,0.771,0.729694494,0.925582313,1,0.08,0,0,18,1,1,1
79,19,18,0.941,0.929084002,0.985278393,1,0.064,0,0,17,0.905,0.905611047,0.971782906
80,20,14,0.693,0.639066953,0.868441464,1,0.066,0,0,19,0.959,0.950032261,0.988344488
81,19,15,0.794,0.718920446,0.873116834,1,0.069,0,0,14,0.734,0.699910003,0.88208731
82,19,15,0.746,0.628036586,0.863660068,1,0.07,0,0,16,0.849,0.840526991,0.959311995
83,17,15,0.868,0.846988909,0.951370501,1,0.069,0,0,12,0.717,0.702706466,0.90673959
84,18,14,0.756,0.723698572,0.890805046,1,0.084,0,0,13,0.689,0.64302008,0.849327779
85,17,12,0.697,0.684499753,0.884057592,1,0.079,0,0,16,0.947,0.942964395,0.985629311
86,19,13,0.644,0.560761247,0.811100029,1,0.065,0,0,18,0.955,0.949491662,0.98533994
87,19,17,0.907,0.902290141,0.975040084,1,0.066,0,0,19,0.998,0.995834969,0.997087543
88,18,14,0.783,0.784015379,0.939654606,1,0.069,0,0,13,0.7,0.642611399,0.88757291
89,19,15,0.79,0.683147734,0.925818612,1,0.068,0,0,18,0.949,0.934830667,0.98188192
90,17,13,0.686,0.585389707,0.792204505,1,0.094,0,0,15,0.883,0.846797181,0.951682361
91,18,13,0.759,0.76193083,0.927620979,1,0.07,0,0,14,0.765,0.712965508,0.898773864
