run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,18,18,1,1,1,18,1,1,1,18,1,1,1
2,19,19,1,1,1,19,1,1,1,19,1,1,1
3,17,17,1,1,1,17,1,1,1,17,1,1,1
4,18,18,1,1,1,18,1,1,1,18,1,1,1
5,18,18,1,1,1,18,1,1,1,18,1,1,1
6,19,19,1,1,1,19,1,1,1,19,1,1,1
7,19,19,1,1,1,19,1,1,1,19,1,1,1
8,19,19,1,1,1,19,1,1,1,19,1,1,1
9,18,18,1,1,1,18,1,1,1,18,1,1,1
10,17,17,1,1,1,17,1,1,1,17,1,1,1
11,18,18,1,1,1,18,1,1,1,18,1,1,1
12,19,19,1,1,1,19,1,1,1,19,1,1,1
13,19,19,1,1,1,19,1,1,1,19,1,1,1
14,18,18,1,1,1,18,1,1,1,18,1,1,1
15,18,18,1,1,1,18,1,1,1,18,1,1,1
16,18,18,1,1,1,18,1,1,1,18,1,1,1
17,18,18,1,1,1,18,1,1,1,18,1,1,1
18,19,19,1,1,1,19,1,1,1,19,1,1,1
19,17,17,1,1,1,17,1,1,1,17,1,1,1
20,16,16,1,1,1,16,1,1,1,16,1,1,1
21,17,17,1,1,1,17,1,1,1,17,1,1,1
22,17,17,1,1,1,17,1,1,1,17,1,1,1
23,19,19,1,1,1,19,1,1,1,19,1,1,1
24,18,18,1,1,1,18,1,1,1,18,1,1,1
25,17,17,1,1,1,17,1,1,1,17,1,1,1
26,19,19,1,1,1,19,1,1,1,19,1,1,1
27,19,19,1,1,1,19,1,1,1,19,1,1,1
28,18,18,1,1,1,18,1,1,1,18,1,1,1
29,19,19,1,1,1,19,1,1,1,19,1,1,1
30,16,16,1,1,1,16,1,1,1,16,1,1,1
31,19,19,1,1,1,19,1,1,1,19,1,1,1
32,18,18,1,1,1,18,1,1,1,18,1,1,1
33,19,19,1,1,1,19,1,1,1,19,1,1,1
34,18,18,1,1,1,18,1,1,1,18,1,1,1
35,19,19,1,1,1,19,1,1,1,19,1,1,1
36,18,18,1,1,1,18,1,1,1,18,1,1,1
37,18,18,1,1,1,18,1,1,1,18,1,1,1
38,19,19,1,1,1,19,1,1,1,19,1,1,1
39,19,19,1,1,1,19,1,1,1,19,1,1,1
40,18,18,1,1,1,18,1,1,1,18,1,1,1
41,19,19,1,1,1,19,1,1,1,19,1,1,1
42,17,17,1,1,1,17,1,1,1,17,1,1,1
43,19,19,1,1,1,19,1,1,1,19,1,1,1
44,18,18,1,1,1,18,1,1,1,18,1,1,1
45,17,17,1,1,1,17,1,1,1,17,1,1,1
46,18,18,1,1,1,18,1,1,1,18,1,1,1
47,18,18,1,1,1,18,1,1,1,18,1,1,1
48,19,19,1,1,1,19,1,1,1,19,1,1,1
49,18,18,1,1,1,18,1,1,1,18,1,1,1
50,18,18,1,1,1,18,1,1,1,18,1,1,1
51,19,19,1,1,1,19,1,1,1,19,1,1,1
52,17,17,1,1,1,17,1,1,1,17,1,1,1
53,20,20,1,1,1,20,1,1,1,20,1,1,1
54,17,17,1,1,1,17,1,1,1,17,1,1,1
55,18,18,1,1,1,18,1,1,1,18,1,1,1
56,18,18,1,1,1,18,1,1,1,18,1,1,1
57,17,17,1,1,1,17,1,1,1,17,1,1,1
58,19,19,1,1,1,19,1,1,1,19,1,1,1
59,18,18,1,1,1,18,1,1,1,18,1,1,1
60,19,19,1,1,1,19,1,1,1,19,1,1,1
61,19,19,1,1,1,19,1,1,1,19,1,1,1
62,19,19,1,1,1,19,1,1,1,19,1,1,1
63,18,18,1,1,1,18,1,1,1,18,1,1,1
64,18,18,1,1,1,18,1,1,1,18,1,1,1
65,17,17,1,1,1,17,1,1,1,17,1,1,1
66,19,19,1,1,1,19,1,1,1,19,1,1,1
67,20,20,1,1,1,20,1,1,1,20,1,1,1
68,18,18,1,1,1,18,1,1,1,18,1,1,1
69,18,18,1,1,1,18,1,1,1,18,1,1,1
70,18,18,1,1,1,18,1,1,1,18,1,1,1
71,19,19,1,1,1,19,1,1,1,19,1,1,1
72,19,19,1,1,1,19,1,1,1,19,1,1,1
73,18,18,1,1,1,18,1,1,1,18,1,1,1
74,18,18,1,1,1,18,1,1,1,18,1,1,1
75,19,18,0.96,0.969504773,0.990423134,19,1,1,1,19,1,1,1
76,18,18,1,1,1,18,1,1,1,18,1,1,1
77,19,19,1,1,1,19,1,1,1,19,1,1,1
78,18,18,1,1,1,18,1,1,1,18,1,1,1
79,17,17,1,1,1,17,1,1,1,17,1,1,1
80,19,19,1,1,1,19,1,1,1,19,1,1,1
81,18,18,1,1,1,18,1,1,1,18,1,1,1
82,20,20,1,1,1,20,1,1,1,20,1,1,1
83,18,18,1,1,1,18,1,1,1,18,1,1,1
84,19,19,1,1,1,19,1,1,1,19,1,1,1
85,18,18,1,1,1,18,1,1,1,18,1,1,1
86,19,19,1,1,1,19,1,1,1,19,1,1,1
87,19,19,1,1,1,19,1,1,1,19,1,1,1
88,18,18,1,1,1,18,1,1,1,18,1,1,1
89,18,18,1,1,1,18,1,1,1,18,1,1,1
90,18,18,1,1,1,18,1,1,1,18,1,1,1
91,18,18,1,1,1,18,1,1,1,18,1,1,1
92,19,19,1,1,1,19,1,1,1,19,1,1,1
93,19,19,1,1,1,19,1,1,1,19,1,1,1
94,18,18,1,1,1,18,1,1,1,18,1,1,1
