run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,18,18,1,1,1,1,0.069,0,0,18,1,1,1
2,18,16,0.889,0.877411349,0.970115313,1,0.07,0,0,18,1,1,1
3,17,17,1,1,1,1,0.07,0,0,17,1,1,1
4,19,19,1,1,1,1,0.078,0,0,19,1,1,1
5,18,18,1,1,1,1,0.068,0,0,18,1,1,1
6,18,18,1,1,1,1,0.077,0,0,18,1,1,1
7,18,18,1,1,1,1,0.077,0,0,18,1,1,1
8,18,18,1,1,1,1,0.074,0,0,18,1,1,1
9,19,19,1,1,1,1,0.069,0,0,19,1,1,1
10,19,19,0.973,0.959275109,0.98512785,1,0.065,0,0,19,1,1,1
11,19,18,0.959,0.952869142,0.988236693,1,0.064,0,0,19,1,1,1
12,18,17,0.935,0.899997554,0.981183395,1,0.091,0,0,18,1,1,1
13,19,19,1,1,1,1,0.068,0,0,19,1,1,1
14,18,18,1,1,1,1,0.082,0,0,18,1,1,1
15,19,19,1,1,1,1,0.069,0,0,19,1,1,1
16,18,18,1,1,1,1,0.07,0,0,18,1,1,1
17,18,18,1,1,1,1,0.065,0,0,18,1,1,1
18,18,18,1,1,1,1,0.07,0,0,18,1,1,1
19,19,19,1,1,1,1,0.065,0,0,19,1,1,1
20,17,17,1,1,1,1,0.103,0,0,17,1,1,1
21,18,17,0.958,0.948552682,0.987120742,1,0.07,0,0,18,1,1,1
22,18,18,1,1,1,1,0.069,0,0,18,1,1,1
23,18,18,1,1,1,1,0.078,0,0,18,1,1,1
24,18,18,1,1,1,1,0.089,0,0,18,1,1,1
25,19,19,1,1,1,1,0.067,0,0,19,1,1,1
26,20,20,1,1,1,1,0.069,0,0,20,1,1,1
27,19,19,1,1,1,1,0.066,0,0,19,1,1,1
28,18,18,1,1,1,1,0.083,0,0,18,1,1,1
29,18,18,1,1,1,1,0.08,0,0,18,1,1,1
30,19,19,1,1,1,1,0.068,0,0,19,1,1,1
31,17,17,1,1,1,1,0.097,0,0,17,1,1,1
32,19,19,1,1,1,1,0.07,0,0,19,1,1,1
33,19,18,0.952,0.924678711,0.984818675,1,0.086,0,0,19,1,1,1
34,18,18,1,1,1,1,0.07,0,0,18,1,1,1
35,19,19,1,1,1,1,0.068,0,0,19,1,1,1
36,18,18,1,1,1,1,0.091,0,0,18,1,1,1
37,19,18,0.954,0.953567356,0.988196637,1,0.074,0,0,19,1,1,1
38,18,18,1,1,1,1,0.076,0,0,18,1,1,1
39,19,19,1,1,1,1,0.069,0,0,19,1,1,1
40,19,18,0.958,0.959776041,0.989059428,1,0.069,0,0,19,1,1,1
41,17,16,0.947,0.938886185,0.984932746,1,0.09,0,0,17,1,1,1
42,18,18,1,1,1,1,0.08,0,0,18,1,1,1
