run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
2,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
3,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
4,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
5,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
6,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
7,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
8,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
9,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
10,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
11,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
12,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
13,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
14,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
15,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
16,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
17,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
18,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
19,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
20,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
21,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
22,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
23,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
24,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
25,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
26,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
27,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
28,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
29,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
30,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
31,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
