run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
2,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
3,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
4,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
5,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
6,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
7,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
8,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
9,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
10,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
11,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
12,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
13,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
14,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
15,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
16,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
17,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
18,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
19,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
20,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
21,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
22,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
23,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
24,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
25,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
26,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
27,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
28,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
29,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
30,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
31,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
32,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
33,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
34,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
35,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
36,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
37,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
38,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
39,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
40,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
41,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
42,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
43,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
44,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
45,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
46,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
47,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
48,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
49,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
50,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
51,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
52,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
53,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
54,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
55,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
56,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
57,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
58,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
59,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
60,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
61,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
62,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
63,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
64,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
65,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
66,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
67,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
68,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
69,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
70,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
71,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
72,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
73,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
74,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
75,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
76,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
77,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
78,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
79,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
80,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
81,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
82,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
83,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
84,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
85,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
86,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
87,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
88,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
89,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
90,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
91,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
92,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
93,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
94,20,20,1.0,1.0,1.0,20,1.0,1.0,1.0,20,1.0,1.0,1.0
95,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
96,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
97,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
98,18,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0
99,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
100,19,19,1.0,1.0,1.0,19,1.0,1.0,1.0,19,1.0,1.0,1.0
