run,true # of communities,predicted # of communities,accuracy,ari,nmi
37,12,12,1.0,1.0,1.0
77,13,13,1.0,1.0,1.0
87,13,13,1.0,1.0,1.0
67,12,12,1.0,1.0,1.0
72,12,12,1.0,1.0,1.0
58,12,12,1.0,1.0,1.0
52,13,13,1.0,1.0,1.0
92,12,12,1.0,1.0,1.0
26,12,12,1.0,1.0,1.0
46,13,13,1.0,1.0,1.0
23,12,12,1.0,1.0,1.0
83,13,13,1.0,1.0,1.0
53,13,13,1.0,1.0,1.0
20,12,12,1.0,1.0,1.0
15,11,11,1.0,1.0,1.0
48,13,13,1.0,1.0,1.0
36,12,12,1.0,1.0,1.0
41,12,12,1.0,1.0,1.0
79,12,12,1.0,1.0,1.0
34,12,12,1.0,1.0,1.0
85,11,11,1.0,1.0,1.0
57,13,13,1.0,1.0,1.0
71,13,13,1.0,1.0,1.0
62,11,11,1.0,1.0,1.0
94,12,12,1.0,1.0,1.0
95,11,11,1.0,1.0,1.0
50,12,12,1.0,1.0,1.0
44,12,12,1.0,1.0,1.0
78,11,11,1.0,1.0,1.0
17,11,11,1.0,1.0,1.0
8,12,12,1.0,1.0,1.0
88,13,13,1.0,1.0,1.0
29,11,11,1.0,1.0,1.0
61,11,11,1.0,1.0,1.0
68,11,11,1.0,1.0,1.0
6,11,11,1.0,1.0,1.0
5,12,12,1.0,1.0,1.0
84,12,12,1.0,1.0,1.0
55,11,11,1.0,1.0,1.0
18,11,11,1.0,1.0,1.0
9,11,11,1.0,1.0,1.0
39,11,11,1.0,1.0,1.0
24,12,12,1.0,1.0,1.0
59,11,11,1.0,1.0,1.0
27,12,12,1.0,1.0,1.0
93,13,13,1.0,1.0,1.0
14,12,12,1.0,1.0,1.0
43,13,13,1.0,1.0,1.0
32,12,12,1.0,1.0,1.0
86,13,13,1.0,1.0,1.0
64,12,12,1.0,1.0,1.0
76,11,11,1.0,1.0,1.0
7,12,12,1.0,1.0,1.0
47,11,11,1.0,1.0,1.0
56,12,12,1.0,1.0,1.0
74,12,12,1.0,1.0,1.0
16,12,12,1.0,1.0,1.0
91,11,11,1.0,1.0,1.0
80,11,11,1.0,1.0,1.0
60,13,13,1.0,1.0,1.0
66,11,11,1.0,1.0,1.0
89,12,12,1.0,1.0,1.0
10,12,12,1.0,1.0,1.0
49,11,11,1.0,1.0,1.0
63,12,12,1.0,1.0,1.0
19,12,12,1.0,1.0,1.0
45,12,12,1.0,1.0,1.0
90,12,12,1.0,1.0,1.0
96,11,11,1.0,1.0,1.0
70,13,13,1.0,1.0,1.0
42,11,11,1.0,1.0,1.0
28,12,12,1.0,1.0,1.0
3,11,11,1.0,1.0,1.0
69,11,11,1.0,1.0,1.0
81,11,11,1.0,1.0,1.0
75,12,12,1.0,1.0,1.0
31,13,13,1.0,1.0,1.0
51,12,12,1.0,1.0,1.0
40,12,12,1.0,1.0,1.0
73,13,13,1.0,1.0,1.0
2,11,11,1.0,1.0,1.0
54,11,11,1.0,1.0,1.0
30,11,11,1.0,1.0,1.0
12,12,12,1.0,1.0,1.0
21,11,11,1.0,1.0,1.0
22,12,12,1.0,1.0,1.0
25,12,12,1.0,1.0,1.0
13,12,12,1.0,1.0,1.0
82,13,13,1.0,1.0,1.0
1,11,11,1.0,1.0,1.0
4,12,12,1.0,1.0,1.0
65,12,12,1.0,1.0,1.0
35,12,12,1.0,1.0,1.0
38,12,12,1.0,1.0,1.0
33,12,12,0.998,0.9952175108467497,0.9960970765530719
11,12,12,1.0,1.0,1.0
97,13,13,1.0,1.0,1.0
100,13,13,1.0,1.0,1.0
99,12,12,1.0,1.0,1.0
98,11,11,1.0,1.0,1.0
