run,true # of communities,predicted # of communities,accuracy,ari,nmi
1,15,16,1.0,1.0,1.0
45,16,16,0.996,0.989543275602886,0.993136555999247
24,15,17,0.996,0.9897480981998017,0.9940110488988609
92,15,16,0.95,0.8649052757549126,0.9462853816387206
94,14,17,0.986,0.9587645574528415,0.9793595816132905
87,14,14,0.992,0.9794114765852561,0.9851777210286352
22,13,15,1.0,1.0,1.0
70,14,14,0.998,0.9956912057153162,0.9963916139932141
44,14,13,0.902,0.8429115257024526,0.9467169253080051
85,15,16,0.998,0.9949444422247748,0.9965158864449317
46,15,16,0.998,0.9945240770109391,0.9964568216536199
23,15,14,0.81,0.648506274858176,0.9039310484447732
17,14,15,0.972,0.9202424026296638,0.9638974962949075
37,15,14,0.918,0.8657895829251964,0.9624011881613534
36,16,20,0.996,0.9884103086303365,0.9939655966101041
11,14,16,0.998,0.9948001659733213,0.996333847360749
33,15,15,0.934,0.8454685961642023,0.9484621136739404
55,17,17,0.996,0.9897642070916698,0.9944180078205321
38,14,14,1.0,1.0,1.0
57,14,13,0.89,0.7919842983605487,0.9333778968785259
71,14,15,1.0,1.0,1.0
96,13,12,0.902,0.8331721602561507,0.9510702877841873
66,15,17,0.998,0.99453499570402,0.9963975071834886
58,16,20,0.996,0.9876864652392754,0.9928404461770942
68,15,17,0.998,0.9943377581903567,0.9963572304100876
76,15,17,0.994,0.9831961483430319,0.9902357666585327
47,16,18,0.956,0.8859734749546775,0.9563038361287876
60,14,13,0.932,0.9135757746569309,0.9723590545077466
50,15,18,0.992,0.9781281526068132,0.9855578721387062
53,16,19,0.994,0.9839989704334418,0.989679150440082
64,13,14,1.0,1.0,1.0
79,16,18,0.998,0.9945352735747769,0.9965606457915775
62,14,14,0.998,0.9948816595315357,0.9963543371666372
3,16,18,0.992,0.9776657938183418,0.9870324779111853
49,15,19,0.998,0.9939666044412175,0.9963431531552325
72,14,14,0.998,0.9945379375374737,0.9962187094623979
48,14,14,0.914,0.8797265924540637,0.9660709994074542
81,15,21,0.95,0.8677951302161198,0.9402454254871573
16,14,15,1.0,1.0,1.0
67,14,15,1.0,1.0,1.0
59,14,14,0.91,0.8201759043062495,0.9386300327360568
52,14,14,0.998,0.9946803778758597,0.9963134640854604
86,16,20,0.998,0.9951031475251466,0.9966621433442155
40,15,17,1.0,1.0,1.0
19,15,14,0.918,0.8912505067604606,0.968872557128342
84,16,18,0.998,0.993826729286008,0.9964419994965444
91,13,14,0.994,0.9834952148824236,0.9884590558709303
54,16,18,0.996,0.9886088595776535,0.9929979618424193
51,14,15,0.998,0.9948839241684884,0.9963016747529503
41,18,25,0.998,0.9946391905274623,0.9967863844200822
7,15,18,0.998,0.9941691361165408,0.9963655081046665
75,14,14,1.0,1.0,1.0
43,16,19,0.996,0.9893549048340003,0.9931732363920682
39,15,15,0.998,0.9942477028894497,0.9963612224792533
42,14,13,0.858,0.7546239585010955,0.911824070691407
69,16,22,0.996,0.9895355110964954,0.9931505780027738
63,14,19,0.996,0.9894277343704344,0.9924943103047946
56,17,23,0.998,0.9935736824979654,0.9965460813261
15,14,15,0.998,0.994548409734832,0.9962824294590391
61,14,15,1.0,1.0,1.0
18,15,15,1.0,1.0,1.0
21,14,15,0.996,0.9881864146959349,0.9924561608504021
93,15,14,0.854,0.6807230871583324,0.8999442770684309
65,14,15,0.998,0.994859734761808,0.9963209309796193
95,14,17,0.996,0.9898653090934967,0.9937556097722728
89,17,23,0.972,0.9170684942395094,0.9686979978737276
10,15,15,1.0,1.0,1.0
88,16,18,0.984,0.9556207569923496,0.9819658571641626
13,16,25,0.946,0.8433874808405288,0.946837889730787
90,14,16,1.0,1.0,1.0
31,15,15,0.956,0.8803588734825852,0.9523652081605528
12,15,18,0.998,0.995020000700134,0.996501617080368
74,16,16,0.876,0.8405088632524169,0.9551316625912731
27,17,21,0.998,0.9945382810378515,0.9966945054228944
20,14,15,0.998,0.9950179196572579,0.996368189220103
35,15,16,1.0,1.0,1.0
83,16,17,1.0,1.0,1.0
5,16,15,0.894,0.8167169809737111,0.9524342329913766
14,16,18,1.0,1.0,1.0
77,15,16,1.0,1.0,1.0
80,15,15,1.0,1.0,1.0
2,13,11,0.742,0.5095181530691815,0.8386905357967281
82,16,17,1.0,1.0,1.0
29,13,12,0.942,0.9428341487146286,0.9815694371497689
30,15,17,1.0,1.0,1.0
25,16,18,1.0,1.0,1.0
78,15,15,0.906,0.8711677793884441,0.9714333137355523
73,16,19,0.992,0.9776056721169244,0.9872274819249673
26,15,21,0.992,0.9791618597523323,0.985756028083973
34,16,23,0.972,0.9205724983139599,0.9619320035770419
6,15,18,0.996,0.9896468701831127,0.9929800666411293
28,16,16,0.908,0.8620785067853254,0.9686361904475814
32,16,19,0.996,0.9908589912592872,0.9943795005943511
4,15,17,1.0,1.0,1.0
8,14,16,0.976,0.9391669682075223,0.9684482853411475
9,16,20,0.998,0.993852485080207,0.9964453368394351
97,14,15,0.918,0.88088517977233,0.9644345097330336
100,14,16,0.992,0.978246884474751,0.9861807613316468
99,13,13,1.0,1.0,1.0
98,14,18,0.994,0.9829380993979844,0.9885937708193434
